,X_Maximum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
Empty_Index,-3.5752711337654497,-24519.615349907963,31.776789850795897,3.4971701448726087,2.984791401234472,3483.1231028978377,0.6588523618179848,-0.03328651207400643,-3.8802254188388563,1.0551495181226114,-0.0012803680162972032,0.020888944397459894,-0.003086164918011233,0.0008908725486905004,-0.012816583310683298,-0.009581748379677608,-0.008311326632427328,0.0258250656508052,0.020479270498739235,0.022935380839572733,-0.0023633518807914208,0.002006696952918334,0.023983578561483847
Square_Index,13.939031427610107,19086.79323703881,-79.99927352497564,-6.406777611264946,-6.726148764754109,-8367.347242766422,0.7242125883699705,-0.35146643990841986,2.2301757243630402,-1.1076328044026424,0.01158584897784756,-0.003086164918011233,0.08136945150178673,-0.0019511948560942416,0.021757869414360403,0.013202595258303298,-0.015040063309252361,-0.04884311431922251,-0.016747999316244603,-0.03397899088764448,-0.023325668369080933,0.0014865421735145337,-0.02687878708645948
Outside_X_Index,0.3813820800396019,5590.925702272872,21.38498113948919,1.6809698234921018,0.581884538542456,2305.231531711477,-0.07725000541435269,0.15471914592453942,-0.45716590311402594,-0.1602971006141424,0.00018925365766594976,0.0008908725486905004,-0.0019511948560942416,0.0010341722958402294,0.0010779121740559692,-0.003621267394226755,-0.00418937994059682,0.007585931985288428,0.007690681765813764,0.0008285199036245219,-0.006109917020056309,-6.0588859930696295e-05,0.0035764203135296956
Edges_X_Index,4.290362203177449,71868.0858062087,-78.85437330066677,-4.976085551026406,-8.422307540259583,-7850.005017851123,0.6223658857107498,1.0961620778738612,5.271178043639683,-2.6928180185789654,0.005792492089205328,-0.012816583310683298,0.021757869414360403,0.0010779121740559692,0.06447156643789737,-0.011160699413509575,-0.0620662424779171,-0.06960053731656947,0.007417990185054842,-0.08644948477371872,-0.0972857894343162,0.005672925410678655,-0.046874327533917
Edges_Y_Index,-5.996406702968613,-13190.884115155168,-40.215104505514915,-5.814059920254321,-0.8359107242856921,-4523.694958158269,-0.9147855224076852,-1.122895312717541,0.5189280513744723,1.7270646705753137,-0.00428713139063781,-0.009581748379677608,0.013202595258303298,-0.003621267394226755,-0.011160699413509575,0.04484170506218796,0.06128364633448318,-0.018343261632504687,-0.049697264929033265,0.023544577189332182,0.07895041669859844,-0.006534202025470663,-0.015751383438964775
Outside_Global_Index,-3.2772554646288103,-83937.71599979888,32.97900584750088,-1.8944201228284578,6.825986572405365,2716.1287745772934,-2.7396179787447985,-2.362900855467722,-1.1145386971520503,5.5265496650836115,-0.018252206348715258,-0.008311326632427328,-0.015040063309252361,-0.00418937994059682,-0.0620662424779171,0.06128364633448318,0.2302782203796247,0.047536024395526205,-0.07064643020125923,0.11053489840353944,0.22557134183128902,-0.01700050218121065,0.018737143426202394
LogOfAreas,-17.369331626780927,-13845.763961387149,418.03585579838483,26.31819741464659,24.33244582050648,42844.967104769275,-5.316430885788101,-1.3297845377689772,-5.731279820320836,2.6878968198412827,-0.012893026346008078,0.0258250656508052,-0.04884311431922251,0.007585931985288428,-0.06960053731656947,-0.018343261632504687,0.047536024395526205,0.2589167680687776,0.10233830609973239,0.17898646054793263,0.08268905810540202,-0.022723975287811515,0.147387009309206
Log_X_Index,0.6065036922017947,40660.76343006858,193.87941960846496,15.7825290205436,7.518977275575082,20477.931500749113,-1.2129484878486458,1.0912244140896927,-0.8050660802407068,-1.372804835790418,0.0025802778165462635,0.020479270498739235,-0.016747999316244603,0.007690681765813764,0.007417990185054842,-0.049697264929033265,-0.07064643020125923,0.10233830609973239,0.10433901843355052,0.016798180932042158,-0.09037002825120276,-0.0010032992374657747,0.061641450995815424
Log_Y_Index,-20.17305068452888,-74057.93867980869,252.43928345103095,13.766454989712727,19.53359069891558,25499.29708040661,-3.601237502127066,-2.4034035723125484,-8.01891933117275,4.751396759123186,-0.01576142955223303,0.022935380839572733,-0.03397899088764448,0.0008285199036245219,-0.08644948477371872,0.023544577189332182,0.11053489840353944,0.17898646054793263,0.016798180932042158,0.18167821179284704,0.16969673223438725,-0.02020406928847672,0.10557608462753107
Orientation_Index,-19.50202645452718,-122854.47449424339,66.2675648256578,-1.1418592836811414,11.88385776108782,5810.550904361647,-3.0179691691289094,-3.5131708460312776,-5.693437528812088,6.926703257506614,-0.02418433594457248,-0.0023633518807914208,-0.023325668369080933,-0.006109917020056309,-0.0972857894343162,0.07895041669859844,0.22557134183128902,0.08268905810540202,-0.09037002825120276,0.16969673223438725,0.29276387307024737,-0.021671561551328083,0.043959218744334234
Luminosity_Index,-9.221648300666741,-18832.953303541755,-28.73098325302043,-1.142272295917578,-1.8547744067416423,-1579.8951814887146,4.223341672725586,3.148478715406154,-4.140524934254289,-1.7416779492752503,0.007364276927238834,0.002006696952918334,0.0014865421735145337,-6.0588859930696295e-05,0.005672925410678655,-0.006534202025470663,-0.01700050218121065,-0.022723975287811515,-0.0010032992374657747,-0.02020406928847672,-0.021671561551328083,0.027846954568321387,-0.010523567988181246
SigmoidOfAreas,-13.12616277052426,-41969.23884658355,172.61312497602216,13.002111139257151,12.175986982735951,17804.046165539192,-2.2088687383011303,-0.9125605688164224,-5.107679997447517,1.6803036515941399,-0.003384177108387607,0.023983578561483847,-0.02687878708645948,0.0035764203135296956,-0.046874327533917,-0.015751383438964775,0.018737143426202394,0.147387009309206,0.061641450995815424,0.10557608462753107,0.043959218744334234,-0.010523567988181246,0.10475026298361764
